0.008,#VALUE!,-0.508341,1.333484,0.181878,,,,,2023-06-08 11.05.10.900 AM
0.017,,-0.50863,1.333317,0.182127,,,,,#VALUE!
0.025,,-0.509009,1.333123,0.182387,,,,,
0.033,,-0.509468,1.332936,0.182658,,,,,
0.042,,-0.509998,1.332737,0.182938,,,,,
0.050,,-0.510594,1.332621,0.183227,,,,,
0.058,,-0.511258,1.332522,0.183541,,,,,
0.067,,-0.513641,1.332165,0.184702,,,,,
0.083,,-0.513983,1.332159,0.184925,,,,,
0.092,,-0.51441,1.332144,0.185259,,,,,
0.100,,-0.5149,1.332159,0.185665,,,,,
0.108,,-0.515435,1.332278,0.18619,,,,,
0.117,,-0.515975,1.332414,0.186827,,,,,
0.125,,-0.516503,1.332463,0.187575,,,,,
0.133,,-0.517002,1.332557,0.188419,,,,,
0.142,,-0.517521,1.332683,0.189339,,,,,
0.150,,-0.518032,1.332897,0.190326,,,,,
0.158,,-0.518539,1.33311,0.191391,,,,,
0.167,,-0.519026,1.333341,0.19251,,,,,
0.175,,-0.519509,1.333592,0.193678,,,,,
0.183,,-0.519976,1.333878,0.194902,,,,,
0.192,,-0.520427,1.334189,0.196159,,,,,
0.200,,-0.520846,1.334502,0.197453,,,,,
0.208,,-0.521225,1.334873,0.198802,,,,,
0.217,,-0.521565,1.335248,0.200183,,,,,
0.225,,-0.521869,1.335627,0.201601,,,,,
0.233,,-0.522109,1.336048,0.203095,,,,,
0.242,,-0.522307,1.336489,0.204619,,,,,
0.250,,-0.522473,1.336915,0.206195,,,,,
0.258,,-0.522583,1.337371,0.207814,,,,,
0.267,,-0.522654,1.337864,0.209475,,,,,
0.275,,-0.52269,1.338307,0.211195,,,,,
0.283,,-0.522677,1.338784,0.212976,,,,,
0.292,,-0.522612,1.339247,0.214791,,,,,
0.300,,-0.522489,1.339796,0.216668,,,,,
0.308,,-0.522307,1.340227,0.218638,,,,,
0.317,,-0.522084,1.340649,0.220672,,,,,
0.325,,-0.521827,1.341077,0.222771,,,,,
0.333,,-0.521544,1.34158,0.224909,,,,,
0.342,,-0.521233,1.342012,0.227081,,,,,
0.350,,-0.52088,1.342486,0.229305,,,,,
0.358,,-0.520532,1.34292,0.231594,,,,,
0.367,,-0.520182,1.34341,0.233934,,,,,
0.375,,-0.519821,1.343886,0.236326,,,,,
0.383,,-0.519451,1.344436,0.238774,,,,,
0.392,,-0.519034,1.344995,0.2413,,,,,
0.400,,-0.5186,1.345521,0.243927,,,,,
0.408,,-0.518131,1.346028,0.246643,,,,,
0.417,,-0.517614,1.346514,0.249408,,,,,
0.425,,-0.517058,1.346982,0.252247,,,,,
0.433,,-0.516452,1.347455,0.255163,,,,,
0.442,,-0.515786,1.347926,0.258087,,,,,
