Format Version,1.23,Take Name,Exp_A1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-06 09.12.15.497 AM,Total Frames in Take,587,Total Exported Frames,587,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.029515,-0.108662,0.149117,-0.982388,0.061028,1.757877,0.802238,0.001209,0.055675,1.742653,0.792743,0.307699,0.046539,1.697461,0.809673,0.000000,0.054706,1.762088,0.762887,0.825182,0.080131,1.824307,0.802034,0.763377,0.068091,1.762876,0.843852,0.752312,0.058024,1.743012,0.794164,,,,0.055050,1.762329,0.762328,0.080067,1.823371,0.801912,0.068463,1.762454,0.844667,0.048439,1.691855,0.816370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.032145,-0.105852,0.146291,-0.983037,0.061501,1.757646,0.802503,0.001276,0.056291,1.742337,0.793065,0.410886,0.047368,1.697178,0.810194,0.106258,0.055338,1.761606,0.763101,0.748543,0.080175,1.824197,0.802032,0.775520,0.068335,1.762913,0.844122,0.820244,0.058278,1.742905,0.794198,0.050049,1.696018,0.812255,0.055242,1.762300,0.762379,0.080309,1.823312,0.801961,0.068782,1.762596,0.844587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.031856,-0.106163,0.145859,-0.983077,0.061736,1.757568,0.802541,0.001219,0.056533,1.742262,0.793094,0.410886,0.047655,1.697083,0.810194,0.106258,0.055548,1.761553,0.763145,0.748543,0.080357,1.824134,0.802110,0.775520,0.068589,1.762809,0.844160,0.820244,0.058513,1.742811,0.794254,,,,0.055532,1.762121,0.762409,0.080598,1.823183,0.801981,0.069040,1.762476,0.844582,0.048730,1.691643,0.816555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.031570,-0.106397,0.145668,-0.983089,0.061971,1.757486,0.802586,0.001245,0.056768,1.742184,0.793131,0.410061,0.047910,1.696991,0.810204,0.000000,0.055766,1.761495,0.763195,0.767536,0.080571,1.824057,0.802192,0.752670,0.068837,1.762700,0.844206,0.824690,0.058772,1.742705,0.794329,,,,0.055730,1.762136,0.762424,0.080870,1.823082,0.802024,0.069227,1.762334,0.844713,0.048896,1.691601,0.816572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.033769,-0.103471,0.143892,-0.983590,0.062450,1.757242,0.802829,0.001327,0.057362,1.741874,0.793421,0.476949,0.048610,1.696725,0.810665,0.336336,0.056430,1.761038,0.763389,0.626911,0.080768,1.823890,0.802212,0.725945,0.069081,1.762684,0.844458,0.828323,0.059045,1.742622,0.794414,0.050551,1.695895,0.812274,0.055958,1.762139,0.762499,0.081190,1.822885,0.802104,0.069421,1.762248,0.844866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.035621,-0.101180,0.142594,-0.983952,0.062874,1.757046,0.803035,0.001343,0.057872,1.741624,0.793669,0.531736,0.049196,1.696517,0.811059,0.467972,0.056998,1.760664,0.763556,0.540700,0.080981,1.823750,0.802223,0.726614,0.069323,1.762676,0.844668,0.870146,0.059219,1.742604,0.794525,0.050707,1.695862,0.812407,0.056186,1.761993,0.762581,0.081468,1.822772,0.802171,0.069634,1.762289,0.844820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.037005,-0.099240,0.141539,-0.984250,0.063255,1.756882,0.803220,0.001319,0.058324,1.741419,0.793884,0.531736,0.049705,1.696342,0.811382,0.467972,0.057504,1.760365,0.763711,0.540700,0.081193,1.823629,0.802267,0.726614,0.069547,1.762655,0.844858,0.870146,0.059410,1.742526,0.794608,0.050885,1.695805,0.812426,0.056370,1.761971,0.762699,0.081646,1.822755,0.802324,0.069773,1.762234,0.844904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.038173,-0.097482,0.140815,-0.984485,0.063610,1.756735,0.803387,0.001353,0.058738,1.741238,0.794076,0.572128,0.050147,1.696191,0.811666,0.583872,0.057977,1.760103,0.763851,0.447163,0.081428,1.823513,0.802314,0.753381,0.069761,1.762629,0.845029,0.879919,0.059559,1.742511,0.794708,0.051050,1.695764,0.812532,0.056529,1.761949,0.762773,0.081918,1.822647,0.802413,0.069923,1.762233,0.844908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.039201,-0.095912,0.140311,-0.984671,0.063938,1.756599,0.803548,0.001380,0.059112,1.741074,0.794260,0.594640,0.050534,1.696057,0.811932,0.726114,0.058411,1.759867,0.763989,0.273459,0.081667,1.823399,0.802367,0.759604,0.069964,1.762600,0.845193,0.884334,0.059708,1.742474,0.794821,0.051202,1.695700,0.812724,0.056665,1.761897,0.762859,0.082127,1.822571,0.802533,0.070050,1.762234,0.844923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.040110,-0.094609,0.139847,-0.984827,0.064238,1.756498,0.803702,0.001386,0.059453,1.740948,0.794435,0.599682,0.050889,1.695957,0.812180,0.759835,0.058798,1.759678,0.764123,0.204255,0.081888,1.823317,0.802425,0.779794,0.070161,1.762592,0.845348,0.878861,0.059885,1.742407,0.794934,0.051420,1.695643,0.812916,0.056825,1.761912,0.763006,0.082264,1.822566,0.802690,0.070214,1.762388,0.844912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,0.040882,-0.093375,0.139508,-0.984961,0.064515,1.756409,0.803862,0.001397,0.059766,1.740837,0.794612,0.599682,0.051205,1.695870,0.812419,0.759835,0.059160,1.759512,0.764266,0.204255,0.082104,1.823242,0.802504,0.779794,0.070340,1.762582,0.845510,0.878861,0.060097,1.742365,0.795077,0.051588,1.695624,0.813128,0.057002,1.761876,0.763150,0.082436,1.822531,0.802828,0.070315,1.762329,0.845072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
