0.008333,-0.376719,1.278031,0.050338
0.016667,-0.376758,1.277967,0.050247
0.025000,-0.376800,1.277855,0.050180
0.033333,-0.376838,1.277788,0.050083
0.041667,-0.376878,1.277718,0.049984
0.050000,-0.376910,1.277640,0.049877
0.058333,-0.385087,1.266022,0.046894
0.141667,-0.385121,1.265957,0.046895
0.166667,-0.385826,1.265409,0.047012
0.175000,-0.385857,1.265390,0.046986
0.183333,-0.385910,1.265393,0.046978
0.191667,-0.385959,1.265334,0.046989
0.200000,-0.385991,1.265306,0.047037
0.208333,-0.386029,1.265279,0.047087
0.216667,-0.386102,1.265289,0.047092
0.225000,-0.386158,1.265279,0.047087
0.233333,-0.386214,1.265223,0.047114
0.241667,-0.386282,1.265190,0.047144
0.250000,-0.386371,1.265208,0.047162
0.258333,-0.386463,1.265227,0.047182
0.266667,-0.386557,1.265247,0.047203
0.275000,-0.386653,1.265265,0.047225
0.283333,-0.386752,1.265284,0.047248
0.291667,-0.386853,1.265301,0.047271
0.300000,-0.386943,1.265245,0.047309
0.308333,-0.387005,1.265153,0.047344
0.316667,-0.387097,1.265096,0.047379
0.325000,-0.387188,1.265038,0.047412
0.333333,-0.387278,1.264979,0.047443
0.341667,-0.387366,1.264919,0.047473
0.350000,-0.387428,1.264891,0.047528
0.358333,-0.387523,1.264894,0.047533
0.366667,-0.387590,1.264870,0.047525
0.375000,-0.387653,1.264846,0.047514
0.383333,-0.387731,1.264850,0.047504
0.391667,-0.387778,1.264774,0.047514
0.400000,-0.387819,1.264697,0.047520
0.408333,-0.387878,1.264691,0.047502
0.416667,-0.387900,1.264650,0.047527
0.425000,-0.387938,1.264573,0.047522
0.433333,-0.387961,1.264544,0.047480
0.441667,-0.387971,1.264072,0.047511
0.450000,-0.387990,1.264015,0.047492
0.458333,-0.387991,1.263547,0.047515
0.466667,-0.387992,1.263082,0.047534
0.475000,-0.388010,1.263016,0.047504
0.483333,-0.388026,1.262951,0.047470
0.491667,-0.388043,1.262886,0.047433
0.500000,-0.388062,1.262820,0.047391
0.508333,-0.388075,1.262796,0.047313
0.516667,-0.388112,1.262796,0.047243
0.525000,-0.388156,1.262795,0.047168
0.533333,-0.388206,1.262793,0.047091
0.541667,-0.388237,1.262722,0.047028
0.550000,-0.388295,1.262726,0.046944
0.558333,-0.388335,1.262713,0.046846
