Format Version,1.23,Take Name,EXP_00A,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.21.54.277 AM,Total Frames in Take,697,Total Exported Frames,697,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.326632,0.923146,-0.100041,0.176363,-0.421042,1.296440,0.183469,0.000284,-0.474944,1.295535,0.131265,0.846956,-0.423003,1.332960,0.167698,0.000000,-0.450578,1.306701,0.221889,0.725758,-0.381113,1.298872,0.231146,0.017601,-0.425692,1.258274,0.190627,0.000000,-0.405708,1.299215,0.181346,0.828677,-0.386257,1.283519,0.160311,0.836903,-0.475735,1.295904,0.131446,,,,-0.451496,1.306843,0.221842,-0.381508,1.299802,0.230729,,,,-0.406484,1.299201,0.181451,-0.387151,1.283964,0.160782,-0.423490,1.334345,0.167636,-0.424717,1.258572,0.189941,-0.396014,1.292259,0.171118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.326600,0.923122,-0.099651,0.176774,-0.421364,1.296526,0.183544,0.000287,-0.475238,1.295663,0.131312,0.000001,-0.423323,1.333062,0.167808,0.000000,-0.450922,1.306744,0.221959,0.001743,-0.381460,1.298918,0.231244,0.000001,-0.426012,1.258353,0.190662,0.000000,-0.406029,1.299306,0.181432,0.065882,-0.386565,1.283635,0.160392,0.000001,-0.476140,1.296066,0.131550,,,,-0.451911,1.306874,0.222004,-0.381846,1.299886,0.230868,,,,-0.406954,1.299342,0.181560,-0.387600,1.284226,0.160878,-0.423943,1.334603,0.167798,-0.425348,1.258870,0.190089,-0.396941,1.292098,0.171477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.326632,0.923121,-0.099192,0.176975,-0.421695,1.296627,0.183629,0.000288,-0.475566,1.295801,0.131392,0.000001,-0.423663,1.333178,0.167928,0.000000,-0.451258,1.306800,0.222052,0.001743,-0.381795,1.298983,0.231334,0.000001,-0.426333,1.258446,0.190709,0.000000,-0.406361,1.299413,0.181521,0.065882,-0.386891,1.283767,0.160466,0.000001,-0.476484,1.296205,0.131731,,,,-0.452125,1.306975,0.222152,-0.382117,1.299979,0.230956,,,,-0.407313,1.299431,0.181645,-0.387921,1.284411,0.160897,-0.425425,1.335072,0.168347,-0.425653,1.258981,0.190159,-0.397279,1.292160,0.171526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.327001,0.923028,-0.098749,0.177028,-0.422028,1.296749,0.183713,0.000171,-0.475910,1.295910,0.131488,0.000001,-0.424033,1.333309,0.168039,0.000000,-0.451592,1.306868,0.222150,0.232911,-0.382119,1.299108,0.231410,0.000001,-0.426630,1.258558,0.190768,0.000000,-0.406697,1.299551,0.181603,0.111672,-0.387218,1.283937,0.160533,0.000001,-0.476845,1.296220,0.131833,,,,-0.452335,1.307045,0.222219,-0.382712,1.300539,0.231356,,,,-0.407580,1.299519,0.181690,-0.388196,1.284538,0.160873,-0.425641,1.335142,0.168395,-0.425892,1.258930,0.190268,-0.397529,1.292201,0.171536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.327382,0.922967,-0.098335,0.176867,-0.422334,1.296865,0.183764,0.000223,-0.476248,1.296007,0.131572,0.000001,-0.424380,1.333432,0.168109,0.000000,-0.451882,1.306939,0.222224,0.232911,-0.382398,1.299234,0.231437,0.000001,-0.426899,1.258667,0.190802,0.000000,-0.407007,1.299681,0.181646,0.111672,-0.387527,1.284095,0.160556,0.000001,-0.477078,1.296303,0.131879,,,,-0.452560,1.307038,0.222239,-0.382741,1.300041,0.231184,,,,-0.407788,1.299528,0.181687,-0.388424,1.284554,0.160829,-0.425844,1.335292,0.168455,-0.426235,1.259325,0.190232,-0.397752,1.292275,0.171532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.327348,0.923031,-0.098025,0.176773,-0.422629,1.296945,0.183816,0.000259,-0.476563,1.296116,0.131644,0.215613,-0.424680,1.333520,0.168182,0.000000,-0.452162,1.306999,0.222293,0.468671,-0.382673,1.299288,0.231475,0.082430,-0.427191,1.258744,0.190835,0.000000,-0.407302,1.299762,0.181693,0.285375,-0.387831,1.284187,0.160587,0.101921,-0.477256,1.296385,0.131894,,,,-0.452670,1.307153,0.222277,-0.382756,1.300056,0.230979,,,,-0.407968,1.299505,0.181677,-0.388625,1.284552,0.160794,-0.426046,1.335278,0.168482,-0.426374,1.259333,0.190216,-0.397933,1.292261,0.171486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.327314,0.923092,-0.097737,0.176677,-0.422892,1.297020,0.183851,0.000191,-0.476846,1.296217,0.131700,0.215613,-0.424949,1.333602,0.168236,0.000000,-0.452410,1.307055,0.222345,0.468671,-0.382918,1.299339,0.231496,0.082430,-0.427452,1.258815,0.190854,0.000000,-0.407566,1.299838,0.181724,0.285375,-0.388103,1.284273,0.160603,0.101921,-0.477387,1.296437,0.131893,,,,-0.452760,1.307159,0.222238,-0.383272,1.300556,0.231315,,,,-0.408038,1.299726,0.181599,-0.388774,1.284553,0.160779,-0.426210,1.335292,0.168350,-0.426733,1.259423,0.190283,-0.398071,1.292268,0.171354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.327103,0.923245,-0.097446,0.176426,-0.423128,1.297073,0.183848,0.000170,-0.477117,1.296319,0.131733,0.523493,-0.425179,1.333664,0.168252,0.000000,-0.452616,1.307103,0.222366,0.685489,-0.383122,1.299351,0.231468,0.000001,-0.427700,1.258866,0.190835,0.000000,-0.407802,1.299885,0.181712,0.553351,-0.388361,1.284321,0.160571,0.418085,-0.477533,1.296509,0.131867,,,,-0.452860,1.307199,0.222193,-0.383395,1.300568,0.231231,,,,-0.408191,1.299719,0.181569,-0.388914,1.284471,0.160473,-0.426320,1.335331,0.168317,-0.426845,1.259372,0.190241,-0.397858,1.292494,0.171087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.327090,0.923353,-0.097398,0.175909,-0.423335,1.297136,0.183813,0.000207,-0.477377,1.296380,0.131753,0.523493,-0.425395,1.333724,0.168211,0.000000,-0.452782,1.307180,0.222359,0.685489,-0.383280,1.299418,0.231391,0.000001,-0.427907,1.258932,0.190814,0.000000,-0.408011,1.299945,0.181661,0.553351,-0.388594,1.284374,0.160503,0.418085,-0.477693,1.296509,0.131846,,,,-0.452948,1.307256,0.222144,-0.383164,1.300001,0.230824,,,,-0.408366,1.299634,0.181404,-0.389068,1.284425,0.160377,-0.425289,1.334899,0.167830,-0.426774,1.259313,0.190092,-0.398359,1.292225,0.171228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.326910,0.923497,-0.097263,0.175567,-0.423531,1.297175,0.183760,0.000203,-0.477612,1.296450,0.131740,0.740302,-0.425587,1.333766,0.168164,0.000000,-0.452945,1.307228,0.222329,0.671960,-0.383440,1.299434,0.231309,0.154315,-0.428115,1.258973,0.190760,0.000000,-0.408207,1.299978,0.181597,0.504126,-0.388813,1.284400,0.160423,0.576154,-0.477850,1.296554,0.131736,,,,-0.453073,1.307231,0.222027,-0.383269,1.299974,0.230681,,,,-0.408482,1.299653,0.181342,-0.389196,1.284393,0.160243,-0.425386,1.334904,0.167744,-0.426898,1.259271,0.190022,-0.398136,1.292428,0.170937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
