Format Version,1.23,Take Name,EXP_00B_000,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 11.22.19.717 AM,Total Frames in Take,726,Total Exported Frames,726,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.521206,1.239447,0.171821,-0.468967,1.278320,0.207073,-0.492528,1.247007,0.261199,-0.422772,1.242229,0.266070,-0.449558,1.243207,0.218391,-0.430680,1.229442,0.195782,-0.466166,1.201569,0.225628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.340827,0.923494,-0.065474,0.163426,-0.464685,1.239990,0.221334,0.000408,-0.521081,1.239688,0.171828,0.160529,-0.468689,1.277150,0.207570,0.000000,-0.492587,1.247242,0.261617,0.000001,-0.422516,1.241527,0.267080,0.000001,-0.467658,1.201372,0.226743,0.000000,-0.449581,1.243430,0.218615,0.000001,-0.430686,1.229521,0.195885,0.148050,-0.521213,1.238903,0.171560,-0.469000,1.277913,0.206749,-0.492488,1.246533,0.260771,-0.422665,1.241959,0.265584,-0.449560,1.242486,0.217839,-0.430758,1.228908,0.195297,-0.466062,1.200881,0.225218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.341032,0.923494,-0.065703,0.162911,-0.464675,1.239704,0.221052,0.000398,-0.521112,1.239347,0.171593,0.160529,-0.468699,1.276851,0.207260,0.000000,-0.492545,1.246984,0.261352,0.000001,-0.422469,1.241289,0.266762,0.000001,-0.467634,1.201090,0.226496,0.000000,-0.449574,1.243145,0.218318,0.000001,-0.430695,1.229221,0.195584,0.148050,-0.521189,1.238330,0.171080,-0.468698,1.276916,0.205273,-0.492415,1.246228,0.260202,-0.422579,1.241702,0.265132,-0.449561,1.242099,0.217399,-0.430722,1.228448,0.194786,-0.465982,1.200494,0.224870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.341330,0.923430,-0.066399,0.162365,-0.464667,1.239401,0.220713,0.000356,-0.521130,1.238940,0.171285,0.000001,-0.468709,1.276523,0.206858,0.000000,-0.492516,1.246744,0.261015,0.000001,-0.422436,1.241080,0.266397,0.000001,-0.467611,1.200796,0.226227,0.000000,-0.449568,1.242842,0.217965,0.000001,-0.430697,1.228884,0.195244,0.000001,-0.521155,1.237790,0.170604,-0.468684,1.276629,0.204779,-0.492492,1.246102,0.259774,-0.422489,1.241367,0.264675,-0.449477,1.241768,0.216843,-0.430736,1.228065,0.194402,-0.465911,1.200145,0.224511,-0.440096,1.225477,0.248415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.341483,0.923424,-0.067079,0.161798,-0.464637,1.239064,0.220313,0.000398,-0.521130,1.238520,0.170920,0.000001,-0.468687,1.276163,0.206397,0.000000,-0.492462,1.246476,0.260619,0.000001,-0.422378,1.240820,0.265968,0.000001,-0.467578,1.200468,0.225893,0.000000,-0.449540,1.242500,0.217549,0.000001,-0.430683,1.228504,0.194841,0.000001,-0.521070,1.237402,0.170103,-0.468219,1.276062,0.204145,-0.492302,1.245757,0.259192,-0.422439,1.241076,0.264184,-0.449430,1.241426,0.216318,-0.430698,1.227590,0.193894,-0.465904,1.199852,0.224124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.341468,0.923483,-0.067742,0.161211,-0.464594,1.238725,0.219857,0.000432,-0.521120,1.238121,0.170502,0.000001,-0.468640,1.275802,0.205884,0.000000,-0.492391,1.246211,0.260169,0.000001,-0.422305,1.240538,0.265483,0.000001,-0.467546,1.200139,0.225502,0.000000,-0.449498,1.242151,0.217078,0.000001,-0.430660,1.228111,0.194381,0.000001,-0.520955,1.237137,0.169614,-0.468602,1.276210,0.203862,-0.492188,1.245543,0.258613,-0.422448,1.240847,0.263609,-0.449387,1.241196,0.215876,-0.430680,1.227164,0.193198,-0.465908,1.199630,0.223693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.341063,0.923657,-0.068605,0.160705,-0.464552,1.238379,0.219354,0.000425,-0.521095,1.237756,0.170019,0.000001,-0.468557,1.275437,0.205316,0.000000,-0.492325,1.245971,0.259662,0.000001,-0.422245,1.240223,0.264961,0.000001,-0.467548,1.199807,0.225069,0.000000,-0.449452,1.241782,0.216564,0.000001,-0.430639,1.227679,0.193885,0.000001,-0.520879,1.236974,0.169027,-0.468579,1.276052,0.203235,-0.492174,1.245506,0.258106,-0.422319,1.240782,0.263052,-0.449334,1.240456,0.215098,-0.430671,1.226854,0.192766,-0.465892,1.199374,0.223121,,,,-0.464153,1.209656,0.216036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.340631,0.923838,-0.069536,0.160185,-0.464511,1.238074,0.218824,0.000418,-0.521071,1.237430,0.169509,0.000001,-0.468473,1.275109,0.204717,0.000000,-0.492262,1.245779,0.259127,0.000001,-0.422187,1.239950,0.264414,0.000001,-0.467556,1.199517,0.224614,0.000000,-0.449408,1.241452,0.216023,0.000001,-0.430621,1.227281,0.193364,0.000001,-0.520816,1.236804,0.168477,-0.467979,1.275584,0.202401,-0.492070,1.245409,0.257583,-0.422269,1.240720,0.262518,-0.449366,1.240667,0.214617,-0.430697,1.226475,0.192247,-0.465845,1.199293,0.222638,,,,-0.464161,1.209303,0.215770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.340269,0.923974,-0.070974,0.159539,-0.464484,1.237803,0.218287,0.000309,-0.521055,1.237088,0.168985,0.000001,-0.468400,1.274802,0.204070,0.000000,-0.492216,1.245664,0.258572,0.000001,-0.422148,1.239759,0.263863,0.000001,-0.467577,1.199268,0.224191,0.000000,-0.449377,1.241153,0.215472,0.000001,-0.430613,1.226891,0.192852,0.000001,-0.520905,1.236458,0.167939,-0.468253,1.275527,0.201924,-0.492130,1.245595,0.257130,-0.422177,1.240763,0.262017,-0.449368,1.240488,0.214137,-0.430639,1.226177,0.191811,-0.465845,1.199376,0.222174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.340088,0.924080,-0.072421,0.158654,-0.464455,1.237587,0.217710,0.000358,-0.521059,1.236769,0.168448,0.000001,-0.468344,1.274544,0.203378,0.000000,-0.492153,1.245604,0.257989,0.000001,-0.422087,1.239646,0.263252,0.000001,-0.467583,1.199073,0.223740,0.000000,-0.449347,1.240912,0.214875,0.000001,-0.430612,1.226559,0.192289,0.000001,-0.521004,1.236266,0.167439,-0.468252,1.275468,0.201430,-0.492061,1.245749,0.256583,-0.422047,1.240677,0.261182,-0.449259,1.240311,0.213372,-0.430680,1.226167,0.191200,-0.465799,1.199240,0.221769,,,,-0.457750,1.217213,0.215369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.339868,0.924258,-0.073571,0.157556,-0.464426,1.237403,0.217122,0.000299,-0.521094,1.236509,0.167935,0.089848,-0.468295,1.274325,0.202693,0.000000,-0.492064,1.245562,0.257413,0.000001,-0.421998,1.239545,0.262604,0.000001,-0.467587,1.198910,0.223263,0.000000,-0.449318,1.240705,0.214259,0.000001,-0.430627,1.226269,0.191688,0.000001,-0.521145,1.236216,0.167075,-0.468405,1.275459,0.200935,-0.491942,1.245765,0.256122,-0.421744,1.240671,0.260414,-0.449216,1.240297,0.212907,-0.430721,1.226021,0.190469,-0.465754,1.199270,0.221374,,,,-0.458349,1.216677,0.215149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.339741,0.924461,-0.074652,0.156128,-0.464381,1.237266,0.216534,0.000437,-0.521145,1.236282,0.167461,0.089848,-0.468244,1.274149,0.202005,0.000000,-0.491932,1.245567,0.256856,0.000001,-0.421862,1.239500,0.261927,0.000001,-0.467565,1.198794,0.222793,0.000000,-0.449275,1.240546,0.213632,0.000001,-0.430642,1.226027,0.191067,0.000001,-0.521229,1.236129,0.166835,-0.468418,1.275487,0.200433,-0.491668,1.245874,0.255660,-0.421850,1.241105,0.259721,-0.449132,1.240339,0.212234,-0.430751,1.225943,0.189965,-0.465697,1.199168,0.220929,,,,-0.458759,1.216217,0.214914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.339733,0.924659,-0.075562,0.154522,-0.464321,1.237162,0.215958,0.000289,-0.521204,1.236081,0.167024,0.570894,-0.468194,1.274007,0.201337,0.000000,-0.491770,1.245592,0.256323,0.000001,-0.421691,1.239491,0.261242,0.000001,-0.467516,1.198709,0.222330,0.000000,-0.449220,1.240423,0.213010,0.000001,-0.430651,1.225830,0.190441,0.000001,-0.521306,1.236028,0.166611,-0.468439,1.275546,0.199911,-0.491367,1.245866,0.255220,-0.421322,1.240572,0.259561,-0.449066,1.240339,0.211769,-0.430758,1.225841,0.189440,-0.465604,1.199033,0.220525,-0.439540,1.224056,0.243139,-0.459011,1.215878,0.214601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.340523,0.924628,-0.076125,0.152682,-0.464244,1.237119,0.215364,0.000263,-0.521279,1.235856,0.166611,0.570894,-0.468201,1.273923,0.200662,0.000000,-0.491575,1.245623,0.255793,0.000001,-0.421476,1.239607,0.260508,0.000001,-0.467380,1.198679,0.221843,0.000000,-0.449156,1.240388,0.212361,0.000001,-0.430643,1.225757,0.189770,0.000001,-0.521342,1.235943,0.166373,-0.468386,1.275534,0.199462,-0.491122,1.245873,0.254897,-0.421093,1.240501,0.259033,-0.448941,1.240448,0.211196,,,,-0.465442,1.199048,0.220141,-0.439363,1.224107,0.242904,-0.459106,1.215711,0.214387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.341246,0.924595,-0.076935,0.150851,-0.464142,1.237080,0.214822,0.000239,-0.521318,1.235624,0.166240,0.653126,-0.468173,1.273837,0.200022,0.000000,-0.491361,1.245682,0.255305,0.084697,-0.421243,1.239738,0.259832,0.000001,-0.467226,1.198657,0.221424,0.000000,-0.449065,1.240353,0.211764,0.000001,-0.430606,1.225670,0.189163,0.266034,-0.521288,1.235966,0.166190,-0.468310,1.275636,0.199126,-0.490789,1.245852,0.254611,-0.420806,1.240629,0.258597,-0.448885,1.240631,0.210698,-0.430456,1.225784,0.188454,-0.465311,1.199088,0.219848,-0.439198,1.224197,0.242682,-0.456799,1.217358,0.212735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.341322,0.924748,-0.077100,0.149654,-0.464011,1.237059,0.214329,0.000304,-0.521293,1.235560,0.165873,0.653126,-0.468067,1.273800,0.199497,0.000000,-0.491142,1.245711,0.254861,0.084697,-0.421015,1.239758,0.259244,0.000001,-0.467089,1.198644,0.220981,0.000000,-0.448941,1.240325,0.211235,0.000001,-0.430533,1.225613,0.188611,0.266034,-0.521134,1.236061,0.165975,-0.467930,1.275211,0.198249,-0.490605,1.245956,0.254304,-0.420658,1.240914,0.258129,-0.448712,1.240460,0.210430,-0.430283,1.226022,0.188035,-0.465140,1.199146,0.219627,-0.439038,1.224355,0.242388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.341168,0.924973,-0.077281,0.148516,-0.463857,1.237090,0.213904,0.000344,-0.521238,1.235579,0.165566,0.232643,-0.467918,1.273818,0.199043,0.000000,-0.490899,1.245802,0.254483,0.198032,-0.420768,1.239807,0.258729,0.000001,-0.466947,1.198683,0.220603,0.000000,-0.448791,1.240343,0.210777,0.335720,-0.430439,1.225595,0.188130,0.292592,-0.520915,1.236252,0.165744,-0.467355,1.275216,0.197930,-0.490381,1.246263,0.254080,-0.420414,1.241225,0.257771,-0.448527,1.240618,0.210233,-0.430138,1.226165,0.187838,-0.465004,1.199406,0.219396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.342792,0.924509,-0.078647,0.146942,-0.463721,1.237135,0.213489,0.000352,-0.521198,1.235270,0.165278,0.232643,-0.467911,1.273790,0.198484,0.000000,-0.490702,1.245943,0.254088,0.198032,-0.420546,1.240153,0.258212,0.000001,-0.466694,1.198749,0.220353,0.000000,-0.448670,1.240415,0.210317,0.335720,-0.430326,1.225622,0.187693,0.292592,-0.520649,1.236527,0.165470,-0.467465,1.275759,0.197760,-0.490192,1.246566,0.253873,-0.420278,1.241392,0.257625,-0.448497,1.240869,0.209859,-0.429946,1.226343,0.187689,-0.464875,1.199755,0.219302,,,,-0.456806,1.217483,0.212321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.342077,0.924806,-0.078984,0.146557,-0.463534,1.237296,0.213174,0.000317,-0.521036,1.235498,0.164991,0.000001,-0.467669,1.273949,0.198147,0.000000,-0.490481,1.246176,0.253779,0.114090,-0.420333,1.240270,0.257875,0.000001,-0.466568,1.198919,0.220064,0.000000,-0.448479,1.240549,0.209993,0.179917,-0.430170,1.225711,0.187370,0.070097,-0.520396,1.236829,0.165247,-0.467134,1.275965,0.197589,-0.490148,1.246993,0.253705,-0.420009,1.241644,0.257478,-0.448036,1.241228,0.209871,-0.429733,1.226491,0.187627,-0.464696,1.200128,0.219176,,,,-0.456576,1.217711,0.212252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.341408,0.925044,-0.079373,0.146408,-0.463340,1.237506,0.212926,0.000317,-0.520843,1.235768,0.164741,0.000001,-0.467418,1.274157,0.197877,0.000000,-0.490274,1.246451,0.253525,0.114090,-0.420136,1.240440,0.257626,0.000001,-0.466433,1.199138,0.219838,0.000000,-0.448280,1.240734,0.209743,0.179917,-0.429993,1.225855,0.187129,0.070097,-0.520163,1.237144,0.165126,-0.466462,1.276329,0.197532,-0.490024,1.247348,0.253593,-0.419890,1.241872,0.257480,-0.447808,1.241531,0.209891,-0.429525,1.226761,0.187628,-0.464234,1.200470,0.218953,,,,,,,-0.438005,1.233955,0.199572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
